"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0R240","2020-04-19 00:00:00","87.000","83.000","0.500","23.200","0.900","1003.300","","0.000","-99.000","-99.000","-99.000","33.000","","19.300",""
"C0AI30","2020-04-19 00:00:00","26.000","190.000","2.000","23.600","0.890","1011.700","","0.000","-99.000","-99.000","-99.000","28.600","","21.000",""
"C0U960","2020-04-19 00:00:00","1885.000","245.000","1.800","12.900","0.910","816.000","","0.000","-99.000","-99.000","-99.000","19.500","","5.100",""
"C0T9E0","2020-04-19 00:00:00","415.000","0.000","0.200","21.300","0.950","969.000","","18.500","-99.000","-99.000","-99.000","27.400","","18.700",""
"C0D550","2020-04-19 00:00:00","1956.000","165.000","1.000","15.400","0.530","812.700","","0.000","-99.000","-99.000","-99.000","18.700","","12.500",""
"C0C630","2020-04-19 00:00:00","209.000","142.000","0.300","22.200","0.810","990.300","","0.000","-99.000","-99.000","-99.000","27.100","","18.600",""
"C0R590","2020-04-19 00:00:00","72.000","360.000","1.600","25.600","0.990","1005.200","","0.000","-99.000","-99.000","-99.000","31.600","","21.300",""
"C0G820","2020-04-19 00:00:00","29.000","0.000","0.100","25.300","0.850","1009.800","","0.000","-99.000","-99.000","-99.000","31.600","","20.500",""
"C0U600","2020-04-19 00:00:00","10.000","270.000","0.600","23.100","0.930","1012.500","","0.000","-99.000","-99.000","-99.000","28.400","","19.700",""
"C0U910","2020-04-19 00:00:00","17.000","284.000","0.700","23.500","0.830","1012.300","","0.000","-99.000","-99.000","-99.000","26.700","","19.800",""
"C0D650","2020-04-19 00:00:00","97.000","111.000","1.300","23.600","0.770","1002.600","","0.000","-99.000","-99.000","-99.000","26.900","","21.400",""
"C0K510","2020-04-19 00:00:00","10.000","56.000","0.500","24.700","0.840","1011.700","","0.000","-99.000","-99.000","-99.000","30.100","","21.400",""
"C0V360","2020-04-19 00:00:00","94.000","0.000","0.100","22.900","0.940","1003.000","","0.000","-99.000","-99.000","-99.000","35.200","","16.900",""
"C0M780","2020-04-19 00:00:00","30.000","0.000","0.000","25.300","0.820","1010.700","","0.000","-99.000","-99.000","-99.000","31.300","","20.400",""
"C0K530","2020-04-19 00:00:00","12.000","105.000","0.800","24.800","0.810","1012.100","","0.000","-99.000","-99.000","-99.000","27.700","","21.400",""
"C0V750","2020-04-19 00:00:00","50.000","53.000","0.800","26.200","0.910","1009.000","","0.000","-99.000","-99.000","-99.000","32.100","","22.100",""
"C0T790","2020-04-19 00:00:00","2830.000","107.000","1.200","10.100","0.690","729.300","","0.000","-99.000","-99.000","-99.000","20.700","","7.900",""
"C0S730","2020-04-19 00:00:00","110.000","194.000","3.500","25.100","0.940","1001.800","","0.000","-99.000","-99.000","-99.000","28.100","","23.600",""
"C0F0D0","2020-04-19 00:00:00","3171.000","160.000","1.400","7.700","0.620","700.300","","0.000","-99.000","-99.000","-99.000","15.300","","3.800",""
"C0F9X0","2020-04-19 00:00:00","166.000","230.000","0.700","24.600","0.860","994.700","","0.000","-99.000","-99.000","-99.000","28.600","","21.100",""
"C0F9Q0","2020-04-19 00:00:00","149.000","130.000","1.800","23.000","0.880","995.500","","0.000","-99.000","-99.000","-99.000","29.100","","19.700",""
"C0E780","2020-04-19 00:00:00","160.000","205.000","0.400","22.400","0.920","995.500","","0.000","-99.000","-99.000","-99.000","29.100","","20.000",""
"C0SA80","2020-04-19 00:00:00","136.000","264.000","0.500","22.500","0.910","999.400","","0.000","-99.000","-99.000","-99.000","29.100","","20.900",""
"C0T960","2020-04-19 00:00:00","120.000","0.000","0.000","21.900","0.990","1001.000","","0.000","-99.000","-99.000","-99.000","30.100","","18.400",""
"C0X320","2020-04-19 00:00:00","30.000","129.000","1.000","23.200","0.900","1009.600","","0.000","-99.000","-99.000","-99.000","33.200","","19.200",""
"C0UA50","2020-04-19 00:00:00","808.000","0.000","0.000","18.200","1.000","924.600","","0.000","-99.000","-99.000","-99.000","25.800","","16.400",""
"C0U860","2020-04-19 00:00:00","5.000","0.000","0.000","23.900","0.890","1013.500","","0.000","-99.000","-99.000","-99.000","28.700","","19.800",""
"C0F0C0","2020-04-19 00:00:00","983.000","180.000","0.300","17.600","0.990","905.700","","0.000","-99.000","-99.000","-99.000","25.800","","16.100",""
"C0D480","2020-04-19 00:00:00","223.000","0.000","0.000","20.600","0.940","987.500","","0.000","-99.000","-99.000","-99.000","28.000","","16.700",""
"C0K291","2020-04-19 00:00:00","8.000","81.000","0.300","24.700","0.850","1012.900","","0.000","-99.000","-99.000","-99.000","27.900","","20.900",""
"C0X170","2020-04-19 00:00:00","50.000","91.000","0.700","25.500","0.940","1007.500","","0.000","-99.000","-99.000","-99.000","32.800","","20.900",""
"C0AH30","2020-04-19 00:00:00","755.000","213.000","1.600","18.900","0.990","930.000","","0.000","-99.000","-99.000","-99.000","23.100","","18.000",""
